Mouse,UniqueID,CellNum,Date,BoxSize,Tetrode,Cluster,SessionType,Session_s_,Avg_RateWholeSession,GridnessCentreRemoved,RadiusCentreField,SpatialInformationRate_bits_sec_,SpatialCoherenceUnsmooth,SpatialStability_HalfAndHalf_,MeanVectorLengthForHeadDirection,Coverage___,BorderScore,GridPeakDistance1,GridPeakDistance2,GridPeakDistance3,GridPeakDistance4,GridPeakDistance5,GridPeakDistance6
Barbara,Barbara1,1,04/20/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.272,-0.0902,11.883,0.305,0.205,0.101,0.028,64.84,0.228,30.15,30.15,35.09,35.09,47.65,47.65
Barbara,Barbara2,2,04/20/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,1.401,-0.3922,10.429,0.165,0.343,0.365,0.019,64.84,0.203,26.62,26.62,26.85,26.85,47.4,47.4
Barbara,Barbara3,3,04/20/2015,90,2,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.7,-0.0415,10.742,0.122,0.118,0.009,0.03,64.84,0.312,27.72,27.72,37.76,37.76,44.04,44.04
Barbara,Barbara4,4,04/20/2015,90,2,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,1.03,0.0486,10.742,0.078,0.154,0.092,0.043,64.84,0.545,34.62,34.62,37.26,37.26,45,45
Barbara,Barbara5,5,04/20/2015,90,2,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0420_4+_3+_2+_1,0.211,0.4689,10.429,0.033,0.055,0.002,0.019,64.84,0.524,31.8,31.8,31.85,31.85,38.48,38.48
Barbara,Barbara6,6,04/23/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.709,-0.269,9.987,0.223,0.203,0.45,0.138,47.99,0.625,17.46,17.46,29.76,29.76,40.3,40.3
Barbara,Barbara7,7,04/23/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,1.375,-0.2565,19.957,0.466,0.184,0.203,0.175,47.99,0.172,43.29,43.29,54.41,54.41,60.41,60.41
Barbara,Barbara8,8,04/23/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.939,0.0149,8.148,0.051,-0.091,0.069,0.141,47.99,0.499,23.75,23.75,28.26,28.26,29.87,29.87
Barbara,Barbara9,9,04/23/2015,90,1,4,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,0.628,0.2247,16.039,0.25,0.41,0.546,0.188,47.99,0.189,31.27,31.27,39.54,39.54,43.34,43.34
Barbara,Barbara10,10,04/23/2015,90,1,5,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0423_3+_2+_1,2.469,0.0698,19.698,0.751,0.32,0.406,0.141,47.99,0.142,36.61,36.61,47.91,47.91,48.77,48.77
Barbara,Barbara16,16,04/27/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0427_1,12.511,-0.1006,14.843,0.93,0.539,0.511,0.06,52.08,0.501,40.93,40.93,44.73,44.73,45.81,45.81
Barbara,Barbara20,20,04/28/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,12.736,-0.3636,22.312,2.211,0.269,0.336,0.047,40.24,0.437,38.24,38.24,45.7,45.7,46.23,46.23
Barbara,Barbara21,21,04/28/2015,90,1,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,14.385,-0.0358,11.184,0.535,0.344,0.336,0.025,40.24,0.464,32.71,32.71,39.44,39.44,48.09,48.09
Barbara,Barbara22,22,04/28/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0428_3+_2+_1,15.497,-0.0061,9.987,0.349,0.25,-0.008,0.051,40.24,0.487,19.79,19.79,29.7,29.7,38.2,38.2
Barbara,Barbara20,20,04/29/2015,90,1,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,23.472,-0.5553,20.526,1.587,0.417,0.468,0.042,89.68,0.477,48.13,48.13,57.56,57.56,81.89,81.89
Barbara,Barbara22,22,04/29/2015,90,1,3,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,17.946,0.2618,11.679,1.419,0.509,0.521,0.101,89.68,0.487,22.54,22.54,46.94,46.94,51,51
Barbara,Barbara24,24,04/29/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0429_1,12.637,0.2269,13.519,1.014,0.428,0.482,0.106,89.68,0.482,47.21,47.21,57.71,57.71,58.54,58.54
Barbara,Barbara27,27,04/30/2015,90,2,1,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0430_2+_1,0.521,-0.2438,10.742,0.104,0.21,0.291,0.245,79.44,0.19,19.67,19.67,26.28,26.28,42.04,42.04
Barbara,Barbara28,28,05/01/2015,90,2,2,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0501_2+_1,3.013,-0.0139,17.124,0.709,0.345,0.353,0.068,58.17,0.649,40.67,40.67,57.8,57.8,60.09,60.09
Barbara,Barbara36,36,05/02/2015,90,1,6,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,0.714,-0.2617,16.113,0.267,0.22,NaN,0.323,95.32,0.253,38.12,38.12,45.89,45.89,49.75,49.75
Barbara,Barbara37,37,05/02/2015,90,1,7,normal,Z:\Users\MCampbell\Analysis\Barbara\OF\databaseFiles\Barbara\OF\0502_1,0.634,-0.0442,13.206,0.198,0.289,0.164,0.164,95.32,-1,39.62,39.62,39.71,39.71,55.24,55.24
